Frequency(Hz)	Mag_Ydd(dB)	Mag_Ydq(dB)	Mag_Yqd(dB)	Mag_Yqq(dB)	Phase_Ydd(deg)	Phase_Ydq(deg)	Phase_Yqd(deg)	Phase_Yqq(deg)
2.000000000000000000e+01	-5.395499200558145247e+01	-4.625985053078217391e+01	-4.625985053079197939e+01	-5.395499200561716435e+01	7.057916588022028748e+01	1.746221956592875983e+02	-5.377804340580976117e+00	7.057916587947381970e+01
2.050000000000000000e+01	-5.367239282459227212e+01	-4.617938769713725833e+01	-4.617938769716461422e+01	-5.367239282452840143e+01	7.072231308007633288e+01	1.744358739463817756e+02	-5.564126053705070518e+00	7.072231308075811285e+01
2.100000000000000000e+01	-5.339140225341468238e+01	-4.609620422899172354e+01	-4.609620422898846925e+01	-5.339140225343654578e+01	7.084576475182569766e+01	1.742446824262881080e+02	-5.755317573575440271e+00	7.084576475215864377e+01
2.150000000000000000e+01	-5.311178416458399454e+01	-4.601023344705404128e+01	-4.601023344702586826e+01	-5.311178416461522289e+01	7.095020662528931155e+01	1.740483458344798180e+02	-5.951654165553520670e+00	7.095020662526742683e+01
2.200000000000000000e+01	-5.283330784172530059e+01	-4.592140517914618414e+01	-4.592140517916023157e+01	-5.283330784189282525e+01	7.103622675432045241e+01	1.738465710313974739e+02	-6.153428968633559037e+00	7.103622675414284515e+01
2.250000000000000000e+01	-5.255574725426463090e+01	-4.582964556307598514e+01	-4.582964556309122628e+01	-5.255574725423490179e+01	7.110432192590039335e+01	1.736390454526197118e+02	-6.360954547558230310e+00	7.110432192579261823e+01
2.300000000000000000e+01	-5.227888034266822359e+01	-4.573487683460345465e+01	-4.573487683462438724e+01	-5.227888034267482453e+01	7.115490299229801963e+01	1.734254353969800775e+02	-6.574564602889650722e+00	7.115490299247781536e+01
2.350000000000000000e+01	-5.200248831977105368e+01	-4.563701710100498588e+01	-4.563701710100664855e+01	-5.200248831974710839e+01	7.118829923390971715e+01	1.732053841415075794e+02	-6.794615858568467281e+00	7.118829923392955550e+01
2.400000000000000000e+01	-5.172635498067759841e+01	-4.553598009773296695e+01	-4.553598009776422373e+01	-5.172635498067815263e+01	7.120476182081952743e+01	1.729785098518520101e+02	-7.021490147915007363e+00	7.120476182096412288e+01
2.450000000000000000e+01	-5.145026602431678953e+01	-4.543167492858394496e+01	-4.543167492855292267e+01	-5.145026602424417206e+01	7.120446644719143592e+01	1.727444032744734841e+02	-7.255596725600063301e+00	7.120446644746421327e+01
