Frequency(Hz)	Mag_Ydd(dB)	Mag_Ydq(dB)	Mag_Yqd(dB)	Mag_Yqq(dB)	Phase_Ydd(deg)	Phase_Ydq(deg)	Phase_Yqd(deg)	Phase_Yqq(deg)
2.000000000000000000e+01	-6.602725397846887745e+01	-8.818745020241826182e+01	-6.585513985786805335e+01	-5.018255563219469906e+01	-8.312671005116615675e+01	-9.010823613685268185e+01	1.397763088553385558e+02	1.307689916853002217e+02
2.050000000000000000e+01	-6.642101681597117135e+01	-8.912886208931480780e+01	-6.600594547996351480e+01	-5.023508360834942721e+01	-8.376251176141229848e+01	-8.985911318554195759e+01	1.387213265776235005e+02	1.294512199758443387e+02
2.100000000000000000e+01	-6.681989699992710996e+01	-9.013976601835332758e+01	-6.615334414588231482e+01	-5.028885571803065346e+01	-8.438512084668869306e+01	-8.915183150858260319e+01	1.377004942847341908e+02	1.281556718913471116e+02
2.150000000000000000e+01	-6.722460606926895821e+01	-9.122939933367332799e+01	-6.629739878776371143e+01	-5.034374213096412376e+01	-8.499600770509906056e+01	-8.784740400350435152e+01	1.367129777815500233e+02	1.268819502510773134e+02
2.200000000000000000e+01	-6.763590731085034236e+01	-9.240623736295218293e+01	-6.643841378112111329e+01	-5.039961927866961844e+01	-8.559674140818154342e+01	-8.574306147278277024e+01	1.357562102698549893e+02	1.256296966873420047e+02
2.250000000000000000e+01	-6.805462451209531594e+01	-9.367436466450443788e+01	-6.657642866100707124e+01	-5.045637461232012555e+01	-8.618874529568387288e+01	-8.254132342087771690e+01	1.348296375198126498e+02	1.243985313644617321e+02
2.300000000000000000e+01	-6.848165136235030559e+01	-9.502463298247597834e+01	-6.671170347132598977e+01	-5.051390042326747221e+01	-8.677358156169560743e+01	-7.780819783307318005e+01	1.339309952827343011e+02	1.231881122249237279e+02
2.350000000000000000e+01	-6.891796437066420822e+01	-9.641482226702771641e+01	-6.684425922025414479e+01	-5.057209831719512749e+01	-8.735270955306842211e+01	-7.094664349021967098e+01	1.330599434934082410e+02	1.219980744695186274e+02
2.400000000000000000e+01	-6.936463558301137766e+01	-9.773225543475142274e+01	-6.697431866699747616e+01	-5.063087371478437859e+01	-8.792777715653758719e+01	-6.127770389792154759e+01	1.322144620338539767e+02	1.208280899961144286e+02
2.450000000000000000e+01	-6.982285142625183028e+01	-9.875352158647551448e+01	-6.710188824905360150e+01	-5.069014001224040555e+01	-8.850038375042022665e+01	-4.847130261212219438e+01	1.313943743217069766e+02	1.196778068157323673e+02
2.500000000000000000e+01	-7.029393098584458244e+01	-9.918988463939051314e+01	-6.722715931218453989e+01	-5.074981367998310589e+01	-8.907238539745205230e+01	-3.341800294981330666e+01	1.305978585824618108e+02	1.185469086580868350e+02
2.550000000000000000e+01	-7.077935376004123214e+01	-9.890543475543807972e+01	-6.735012692118213806e+01	-5.080981809144191175e+01	-8.964566686515533434e+01	-1.848151990243645315e+01	1.298248624822894328e+02	1.174350543942316989e+02
2.600000000000000000e+01	-7.128078732748736002e+01	-9.806442882573001896e+01	-6.747095589330876919e+01	-5.087007916118472650e+01	-9.022247173339837900e+01	-5.915030955684512648e+00	1.290737266031971444e+02	1.163419377925716987e+02
2.650000000000000000e+01	-7.180012922918854201e+01	-9.695643360934406019e+01	-6.758963252895809148e+01	-5.093052882793172387e+01	-9.080519307971505327e+01	3.560149134035868634e+00	1.283444926659930729e+02	1.152672270258161831e+02
2.700000000000000000e+01	-7.233955085744528901e+01	-9.579247185693704125e+01	-6.770629920352797626e+01	-5.099110118714338569e+01	-9.139674812940454274e+01	1.034863251918103266e+01	1.276356351284235444e+02	1.142106244414438265e+02
2.750000000000000000e+01	-7.290156298605519680e+01	-9.467549731756056985e+01	-6.782093556127486522e+01	-5.105173562787817332e+01	-9.200040859634631829e+01	1.513264194217562242e+01	1.269472662592372814e+02	1.131718062814945540e+02
2.800000000000000000e+01	-7.348908872258695624e+01	-9.364271189072576362e+01	-6.793366495661433646e+01	-5.111237341792082844e+01	-9.262025803614623953e+01	1.849319024729478400e+01	1.262779719039608466e+02	1.121504823871035796e+02
2.850000000000000000e+01	-7.410557103747967744e+01	-9.270119270209725926e+01	-6.804446208925270412e+01	-5.117296050082495640e+01	-9.326110950188014215e+01	2.084836332420735872e+01	1.256279166286386726e+02	1.111463361474162923e+02
2.900000000000000000e+01	-7.475510045143880689e+01	-9.184604546485437027e+01	-6.815343416737022153e+01	-5.123344449597383488e+01	-9.392912758749996271e+01	2.248471426131178674e+01	1.249957798108583376e+02	1.101590840909936446e+02
2.950000000000000000e+01	-7.544260238141660579e+01	-9.106860767395494349e+01	-6.826055233525393362e+01	-5.129377716709421264e+01	-9.463194850357866983e+01	2.359786571899564223e+01	1.243817641420883859e+02	1.091884160960895827e+02
3.000000000000000000e+01	-7.617407482061673818e+01	-9.035960765510506576e+01	-6.836591006994267161e+01	-5.135391181099581104e+01	-9.537966307539159061e+01	2.432280321802859291e+01	1.237846281111171720e+02	1.082340548082370759e+02
3.050000000000000000e+01	-7.695694010963677556e+01	-8.971049019956805637e+01	-6.846947608862882362e+01	-5.141380540047565262e+01	-9.618544336531003580e+01	2.475453373796323220e+01	1.232046015758435118e+02	1.072956961610685198e+02
3.100000000000000000e+01	-7.780052280782732055e+01	-8.911368333195690639e+01	-6.857133217106677137e+01	-5.147341634089733020e+01	-9.706741964800838218e+01	2.496108890234401301e+01	1.226405105800980948e+02	1.063730685379312035e+02
3.150000000000000000e+01	-7.871677540114104943e+01	-8.856271146229448732e+01	-6.867144551908829442e+01	-5.153270630267815022e+01	-9.805072304934475369e+01	2.499228265675265703e+01	1.220926035281896986e+02	1.054658736553671190e+02
3.200000000000000000e+01	-7.972133953862032740e+01	-8.805201623277595502e+01	-6.876988794869870958e+01	-5.159163831311938964e+01	-9.917195114660221122e+01	2.488510478393898140e+01	1.215597648786270923e+02	1.045738454059903546e+02
3.250000000000000000e+01	-8.083523388330986847e+01	-8.757690068076043133e+01	-6.886662587506216937e+01	-5.165017829657453774e+01	-1.004858500784476689e+02	2.466761789938187732e+01	1.210422546991479180e+02	1.036966911458691101e+02
3.300000000000000000e+01	-8.208753628542854131e+01	-8.713333043290276692e+01	-6.896172262257154273e+01	-5.170829348706334372e+01	-1.020790112277803843e+02	2.436130227074444576e+01	1.205390083030420101e+02	1.028341501629840167e+02
3.350000000000000000e+01	-8.351994704376154743e+01	-8.671788489874110439e+01	-6.905514439622925238e+01	-5.176595367725924035e+01	-1.040957281238867864e+02	2.398294590771771340e+01	1.200502925251783779e+02	1.019859353985558243e+02
3.400000000000000000e+01	-8.519470534078601531e+01	-8.632759877257896619e+01	-6.914694729248134308e+01	-5.182312993995368799e+01	-1.067959472577871338e+02	2.354571514726836767e+01	1.195750871331672585e+02	1.011517914978654034e+02
3.450000000000000000e+01	-8.720878934817318395e+01	-8.595993962606401340e+01	-6.923709777701175483e+01	-5.187979559948482233e+01	-1.106940799430821727e+02	2.306015667729732854e+01	1.191136616084750415e+02	1.003314370095854997e+02
3.500000000000000000e+01	-8.971680258990315338e+01	-8.561268669071444037e+01	-6.932564579210371392e+01	-5.193592524131234001e+01	-1.169490471280032864e+02	2.253470199855988909e+01	1.186650352871717615e+02	9.952462195015336022e+01
3.550000000000000000e+01	-9.293357503344127224e+01	-8.528392882286462395e+01	-6.941255844458396496e+01	-5.199149542258880530e+01	-1.286294723717736872e+02	2.197624450005935159e+01	1.182294771595973515e+02	9.873107054031885355e+01
3.600000000000000000e+01	-9.667615318871003183e+01	-8.497197026613334003e+01	-6.949788042480408023e+01	-5.204648394972473113e+01	-1.546035986707515519e+02	2.139037817611588466e+01	1.178060419187010552e+02	9.795053823600933640e+01
3.650000000000000000e+01	-9.756781382540808067e+01	-8.467534156513784183e+01	-6.958157980686428346e+01	-5.210087034008560636e+01	1.583231997357736134e+02	2.078175533016383270e+01	1.173949957099204653e+02	9.718275499782340887e+01
